Ref Year,Black,Hispanic,White,Other,Missing/Unknown
2017 Q1,1334,34,569,14,48
2017 Q2,1291,34,570,18,44
2017 Q3,1242,54,499,11,68
2017 Q4,1112,43,396,17,38
2018 Q1,1047,33,418,13,59
2018 Q2,1101,40,425,9,64
2018 Q3,968,71,404,16,75
2018 Q4,901,39,352,19,53
2019 Q1,850,26,386,15,45
2019 Q2,797,23,291,6,65
2019 Q3,795,30,299,13,76
2019 Q4,741,36,263,8,51
2020 Q1,654,22,235,12,43
2020 Q2,332,17,132,7,13
2020 Q3,456,12,167,14,46
2020 Q4,513,18,145,12,51
2021 Q1,515,27,162,6,40
2021 Q2,476,51,149,7,39
2021 Q3,610,52,157,16,69
2021 Q4,612,23,170,7,80
2022 Q1,541,7,168,10,96
2022 Q2,626,14,173,8,120
2022 Q3,624,35,171,8,140
2022 Q4,630,9,166,11,116
